// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:12 (12 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-PEYBSU(Runtime=Core, Toolchain=netcoreapp2.1, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-BGTYRW(Runtime=Core, Toolchain=netcoreapp2.2, UnrollFactor=64)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eef1315b-f324-4bb4-af22-6ce6bc6ebc7c.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\eef1315b-f324-4bb4-af22-6ce6bc6ebc7c\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-NNVNPD(Runtime=Core, UnrollFactor=64)

OverheadActual  12: 1048576 op, 2839303.03 ns, 2.7078 ns/op
OverheadActual  13: 1048576 op, 2556834.46 ns, 2.4384 ns/op
OverheadActual  14: 1048576 op, 2873278.28 ns, 2.7402 ns/op
OverheadActual  15: 1048576 op, 2542612.26 ns, 2.4248 ns/op
OverheadActual  16: 1048576 op, 2685624.32 ns, 2.5612 ns/op
OverheadActual  17: 1048576 op, 2574217.14 ns, 2.4550 ns/op
OverheadActual  18: 1048576 op, 2569476.41 ns, 2.4504 ns/op
OverheadActual  19: 1048576 op, 2956241.07 ns, 2.8193 ns/op
OverheadActual  20: 1048576 op, 2538266.59 ns, 2.4207 ns/op

WorkloadWarmup   1: 1048576 op, 893314581.11 ns, 851.9312 ns/op
WorkloadWarmup   2: 1048576 op, 882568923.32 ns, 841.6833 ns/op
WorkloadWarmup   3: 1048576 op, 895542724.85 ns, 854.0561 ns/op
WorkloadWarmup   4: 1048576 op, 921599759.80 ns, 878.9060 ns/op
WorkloadWarmup   5: 1048576 op, 894753393.08 ns, 853.3033 ns/op
WorkloadWarmup   6: 1048576 op, 903104586.46 ns, 861.2676 ns/op
WorkloadWarmup   7: 1048576 op, 906029617.72 ns, 864.0572 ns/op
WorkloadWarmup   8: 1048576 op, 1024218421.30 ns, 976.7708 ns/op
WorkloadWarmup   9: 1048576 op, 950297777.19 ns, 906.2746 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 893137988.86 ns, 851.7628 ns/op
WorkloadActual   2: 1048576 op, 891990336.81 ns, 850.6683 ns/op
WorkloadActual   3: 1048576 op, 893241889.89 ns, 851.8618 ns/op
WorkloadActual   4: 1048576 op, 904380238.26 ns, 862.4842 ns/op
WorkloadActual   5: 1048576 op, 948250571.36 ns, 904.3222 ns/op
WorkloadActual   6: 1048576 op, 896614920.27 ns, 855.0786 ns/op
WorkloadActual   7: 1048576 op, 890479623.74 ns, 849.2275 ns/op
WorkloadActual   8: 1048576 op, 886402989.82 ns, 845.3398 ns/op
WorkloadActual   9: 1048576 op, 917256064.68 ns, 874.7636 ns/op
WorkloadActual  10: 1048576 op, 908473069.68 ns, 866.3874 ns/op
WorkloadActual  11: 1048576 op, 896722376.84 ns, 855.1811 ns/op
WorkloadActual  12: 1048576 op, 893659469.31 ns, 852.2601 ns/op
WorkloadActual  13: 1048576 op, 894037542.64 ns, 852.6206 ns/op
WorkloadActual  14: 1048576 op, 925842319.32 ns, 882.9520 ns/op
WorkloadActual  15: 1048576 op, 892938878.15 ns, 851.5729 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 890566142.09 ns, 849.3101 ns/op
WorkloadResult   2: 1048576 op, 889418490.04 ns, 848.2156 ns/op
WorkloadResult   3: 1048576 op, 890670043.12 ns, 849.4091 ns/op
WorkloadResult   4: 1048576 op, 901808391.49 ns, 860.0315 ns/op
WorkloadResult   5: 1048576 op, 894043073.50 ns, 852.6259 ns/op
WorkloadResult   6: 1048576 op, 887907776.97 ns, 846.7748 ns/op
WorkloadResult   7: 1048576 op, 883831143.05 ns, 842.8871 ns/op
WorkloadResult   8: 1048576 op, 914684217.91 ns, 872.3108 ns/op
WorkloadResult   9: 1048576 op, 905901222.91 ns, 863.9347 ns/op
WorkloadResult  10: 1048576 op, 894150530.07 ns, 852.7284 ns/op
