// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:10 (10.15 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CVNYSV(Runtime=Core, Toolchain=netcoreapp2.0)
//   DynamicCallFieldTest.Origin: Job-KEAMEE(Runtime=Core, Toolchain=netcoreapp2.1)
//   DynamicCallFieldTest.Origin: Job-AGDKPR(Runtime=Core, Toolchain=netcoreapp2.2)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CVNYSV(Runtime=Core, Toolchain=netcoreapp2.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "528d0a0a-3566-4559-af70-27de5ac0d787.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\528d0a0a-3566-4559-af70-27de5ac0d787\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-ONFEHC(Runtime=Core)

OverheadJitting  2: 16 op, 384789.52 ns, 24.0493 us/op
WorkloadJitting  2: 16 op, 411258.61 ns, 25.7037 us/op

WorkloadPilot    1: 16 op, 3160.49 ns, 197.5306 ns/op
WorkloadPilot    2: 32 op, 790.12 ns, 24.6913 ns/op
WorkloadPilot    3: 64 op, 790.12 ns, 12.3457 ns/op
WorkloadPilot    4: 128 op, 1185.18 ns, 9.2592 ns/op
WorkloadPilot    5: 256 op, 2370.37 ns, 9.2592 ns/op
WorkloadPilot    6: 512 op, 1975.31 ns, 3.8580 ns/op
WorkloadPilot    7: 1024 op, 3160.49 ns, 3.0864 ns/op
WorkloadPilot    8: 2048 op, 5925.92 ns, 2.8935 ns/op
WorkloadPilot    9: 4096 op, 10666.65 ns, 2.6042 ns/op
WorkloadPilot   10: 8192 op, 20148.12 ns, 2.4595 ns/op
WorkloadPilot   11: 16384 op, 39901.17 ns, 2.4354 ns/op
WorkloadPilot   12: 32768 op, 80592.47 ns, 2.4595 ns/op
WorkloadPilot   13: 65536 op, 158024.44 ns, 2.4113 ns/op
WorkloadPilot   14: 131072 op, 318024.19 ns, 2.4263 ns/op
WorkloadPilot   15: 262144 op, 639603.93 ns, 2.4399 ns/op
WorkloadPilot   16: 524288 op, 1267356.02 ns, 2.4173 ns/op
WorkloadPilot   17: 1048576 op, 2540242.90 ns, 2.4226 ns/op
WorkloadPilot   18: 2097152 op, 5038609.32 ns, 2.4026 ns/op
WorkloadPilot   19: 4194304 op, 10190206.12 ns, 2.4295 ns/op
WorkloadPilot   20: 8388608 op, 20597300.78 ns, 2.4554 ns/op
WorkloadPilot   21: 16777216 op, 40756478.80 ns, 2.4293 ns/op
WorkloadPilot   22: 33554432 op, 80570736.88 ns, 2.4012 ns/op
WorkloadPilot   23: 67108864 op, 161682707.46 ns, 2.4093 ns/op
WorkloadPilot   24: 134217728 op, 326222891.89 ns, 2.4305 ns/op
WorkloadPilot   25: 268435456 op, 646823669.22 ns, 2.4096 ns/op

OverheadWarmup   1: 268435456 op, 648181889.29 ns, 2.4147 ns/op
OverheadWarmup   2: 268435456 op, 643285897.03 ns, 2.3964 ns/op
OverheadWarmup   3: 268435456 op, 640630691.35 ns, 2.3865 ns/op
OverheadWarmup   4: 268435456 op, 645054190.53 ns, 2.4030 ns/op
OverheadWarmup   5: 268435456 op, 647978827.89 ns, 2.4139 ns/op
